artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
bryson tiller,canceled,2018,0.029480011,0.000461681,0.000461681,0.000461681,0.04553474,0.000461681,0.000461681,0.462616122,0.363358137,0.000461681,0.076323024,0.000461681,0.763890393,0.089035449,0.611599481,https://www.youtube.com/watch?v=N1ZlifJVk2Q
travis scott,stop trying to be god,2018,0.000531632,0.000531632,0.06099151,0.034423079,0.094850047,0.000531632,0.000531632,0.000531632,0.483122911,0.000531632,0.000531632,0.030423373,0.570020578,0.092126958,0.567554062,https://www.youtube.com/watch?v=YqvCptqhHfs
little mix,wasabi,2018,0.093531783,0.000537057,0.043071657,0.000537057,0.021252448,0.000537057,0.031804569,0.1876712,0.375471302,0.000537057,0.220250571,0.000537057,0.85053612,0.216817807,0.656645933,https://www.youtube.com/watch?v=ee5aEU4XEnc
migos,notice me,2018,0.00044603,0.00044603,0.026459637,0.019171838,0.08823192,0.00044603,0.00044603,0.00044603,0.326876749,0.00044603,0.00044603,0.00044603,0.795299469,0.4641385,0.338317673,https://www.youtube.com/watch?v=vHZgnlZho50
bts,fake love,2018,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.226350126,0.750707903,0.001349528,0.001349528,0.001349528,0.536445359,0.330173124,0.719710966,https://www.youtube.com/watch?v=7C2z4GqqS5E
jay rock,"king's dead (with kendrick lamar, future & james blake)",2018,0.000584795,0.077209955,0.060050274,0.000584795,0.022920476,0.000584795,0.000584795,0.000584795,0.399860081,0.066384099,0.000584795,0.000584795,0.542943789,0.415704864,0.717708901,https://www.youtube.com/watch?v=VwAnsAUYnw4
travis scott,5% tint,2018,0.041649629,0.000531632,0.000531632,0.000531632,0.116873664,0.025037543,0.029361011,0.000531632,0.418264908,0.000531632,0.000531632,0.059759709,0.704321456,0.039571311,0.481465287,https://www.youtube.com/watch?v=6SLD1ZQZ_4Y
kina grannis,can't help falling in love,2018,0.002392345,0.002392345,0.144530204,0.002392345,0.002392345,0.173904462,0.087060542,0.002392345,0.002392345,0.002392345,0.002392345,0.370922642,0.221271526,0.123042045,0.059630291,https://www.youtube.com/watch?v=tyoAsprwDRc
ariana grande,better off,2018,0.000773994,0.061150474,0.000773994,0.000773994,0.066191319,0.000773994,0.000773994,0.000773994,0.474363233,0.000773994,0.000773994,0.138076753,0.579768223,0.03225474,0.524509674,https://www.youtube.com/watch?v=-mNEr0OGusU
drake,can?Ât take a joke,2018,0.000634115,0.000634115,0.069999558,0.000634115,0.028217388,0.000634115,0.000634115,0.231296294,0.546913557,0.000634115,0.000634115,0.057487084,0.757391964,0.436314922,0.598586062,https://www.youtube.com/watch?v=RaskP_FC9VA
alec benjamin,if i killed someone for you,2018,0.000537057,0.494390369,0.000537057,0.000537057,0.000537057,0.000537057,0.093181314,0.278663115,0.000537057,0.000537057,0.000537057,0.000537057,0.489873281,0.397155812,0.605593288,https://www.youtube.com/watch?v=GLHAcAkdB8M
twenty one pilots,jumpsuit,2018,0.000877193,0.496070111,0.113967094,0.000877193,0.169080793,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.604678869,0.21784831,0.610598449,https://www.youtube.com/watch?v=UOUBW8bkjQ4
khalid,this way,2018,0.001283697,0.001283697,0.001283697,0.042188037,0.026130634,0.001283697,0.001283697,0.256604649,0.142000192,0.001283697,0.001283697,0.460863839,0.604678869,0.174567189,0.282259866,https://www.youtube.com/watch?v=duZ85VKPEp0
camila cabello,real friends,2018,0.00055991,0.00055991,0.00055991,0.090019821,0.0472359,0.00055991,0.00055991,0.257492193,0.341908677,0.00055991,0.018627137,0.000559911,0.692407668,0.658903545,0.512497287,https://www.youtube.com/watch?v=bg7RjxsghNY
saweetie,icy grl,2018,0.000572082,0.1104882,0.10853269,0.000572082,0.032162072,0.012710722,0.000572082,0.000572082,0.412397573,0.000572083,0.101334378,0.000572082,0.937181848,0.843363561,0.563549933,https://www.youtube.com/watch?v=Wji4b2jjYOk
h.e.r.,hard place,2018,0.000611995,0.058712948,0.144586337,0.111672905,0.052402788,0.000611995,0.000611995,0.107624519,0.000611995,0.000611995,0.000611995,0.425550251,0.59818044,0.326051113,0.719710966,https://www.youtube.com/watch?v=ya0LhdgXiaQ
julia michaels,jump (with trippie redd),2018,0.006578947,0.006578947,0.006578947,0.006578947,0.006578947,0.006578947,0.006578947,0.006578947,0.881578947,0.006578947,0.006578947,0.006578947,0.641503303,0.498145095,0.547533416,https://www.youtube.com/watch?v=Bkhpiwvvf8k
dua lipa,kiss and make up,2018,0.000365497,0.035273303,0.000365497,0.000365497,0.000365497,0.030775745,0.502533993,0.222515398,0.053728802,0.000365497,0.021923057,0.034962361,0.667497022,0.638293487,0.729721289,https://www.youtube.com/watch?v=AX3Bsiq-13k
the 1975,love it if we made it,2018,0.001315789,0.328673552,0.00131579,0.00131579,0.001315789,0.064765658,0.001315789,0.235049088,0.248969498,0.00131579,0.00131579,0.00131579,0.444384274,0.051525144,0.751743998,https://www.youtube.com/watch?v=1Wl1B7DPegc
playboi carti,flatbed freestyle,2018,0.000657895,0.000657895,0.000657895,0.000657895,0.124299187,0.000657895,0.000657895,0.000657895,0.586217059,0.000657895,0.000657895,0.000657895,0.750893534,0.389942292,0.552538578,https://www.youtube.com/watch?v=EeXBiBUMSsI
post malone,blame it on me,2018,0.000641849,0.182477896,0.000641849,0.000641849,0.068198709,0.000641849,0.000641849,0.098230829,0.059438486,0.000641849,0.000641849,0.408940901,0.638254089,0.302349547,0.587574707,https://www.youtube.com/watch?v=B272zlEstNc
