artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
halsey,hurricane,2015,0.09144877,0.000877193,0.000877193,0.000877193,0.000877193,0.02722865,0.063299232,0.000877193,0.000877193,0.000877193,0.035000596,0.401288908,0.567854435,0.476504534,0.830825547,https://www.youtube.com/watch?v=FR9G7ioLLmc
meek mill,lord knows (feat. tory lanez),2015,0.002192982,0.385676428,0.002192983,0.166137261,0.046264597,0.128378363,0.002192983,0.129433224,0.002192983,0.066923964,0.002192982,0.002192983,0.403227553,0.140560594,0.695686192,https://www.youtube.com/watch?v=OYYRJZAdx2w
action bronson,baby blue (feat. chance the rapper),2015,0.05706765,0.000431406,0.067410652,0.000431406,0.000431406,0.000431406,0.000431406,0.000431406,0.356447975,0.063887683,0.172595707,0.07393944,0.82995776,0.759892828,0.487471481,https://www.youtube.com/watch?v=bVP_w1rQweE
langhorne slim,changes,2015,0.001349528,0.001349528,0.413771154,0.001349528,0.001349528,0.001349528,0.001349528,0.252561153,0.001349528,0.001349528,0.001349528,0.001349528,0.656666306,0.328112119,0.367347609,https://www.youtube.com/watch?v=j-K0MeOMt1k
drake,diamonds dancing,2015,0.01193389,0.000442282,0.135461095,0.000442282,0.000442282,0.026160051,0.000442282,0.000442282,0.470249041,0.050303765,0.065746549,0.000442282,0.438968916,0.146743611,0.358338318,https://www.youtube.com/watch?v=elYG1PU27F0
fetty wap,rgf island,2015,0.040314254,0.001052632,0.001052632,0.001052632,0.022184543,0.081466304,0.001052632,0.001052632,0.840245426,0.001052632,0.001052632,0.001052632,0.74114589,0.509480627,0.764757418,https://www.youtube.com/watch?v=bl5egtkC51Y
trey songz,"touchin, lovin (feat. nicki minaj)",2015,0.125047371,0.000427899,0.000427899,0.188648195,0.017415964,0.000427899,0.000427899,0.156960389,0.3108618,0.024974137,0.133533387,0.000427899,0.813711686,0.43219291,0.580567481,https://www.youtube.com/watch?v=cEmrvCiEapM
bryson tiller,let em' know,2015,0.036712042,0.000434972,0.000434972,0.08245096,0.026971921,0.000434972,0.030499748,0.101240787,0.573069436,0.000434972,0.075321884,0.011562962,0.463879562,0.15704864,0.405386835,https://www.youtube.com/watch?v=_GFTWnQSG30
breaking benjamin,failure,2015,0.001879699,0.001879699,0.341374398,0.106115998,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.060982992,0.001879699,0.310985345,0.433553558,0.370362737,0.890887483,https://www.youtube.com/watch?v=fVIh1MFWDVw
o.t. genasis,cut it (feat. young dolph),2015,0.000657895,0.020170959,0.000657895,0.000657895,0.167552135,0.000657895,0.017449207,0.046360932,0.638554676,0.000657895,0.000657895,0.000657895,0.880862125,0.213726298,0.673663482,https://www.youtube.com/watch?v=qMwcsIY1GYE
misterwives,our own house,2015,0.001503759,0.144006381,0.001503759,0.001503759,0.001503759,0.001503759,0.00150376,0.001503759,0.001503759,0.001503759,0.00150376,0.490008778,0.566771364,0.445589448,0.764757418,https://www.youtube.com/watch?v=KGl7O1EVR7Y
breaking benjamin,ashes of eden,2015,0.003289474,0.003289474,0.084343576,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.194797537,0.003289474,0.314209383,0.194194736,0.261129431,0.534519997,https://www.youtube.com/watch?v=d1yTyAh8IA8
g-eazy,order more,2015,0.091025554,0.000469925,0.013612812,0.038883071,0.101457,0.000469925,0.000469925,0.000469925,0.748442615,0.000469925,0.000469925,0.000469925,0.902523557,0.802143446,0.437419867,https://www.youtube.com/watch?v=UI9WCl4Cd8E
hippo campus,south,2015,0.002923977,0.462889961,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.132934882,0.509368569,0.43219291,0.548534449,https://www.youtube.com/watch?v=Ure4jaEue5U
the neighbourhood,r.i.p. 2 my youth,2015,0.017661406,0.3109724,0.072434063,0.000711238,0.057085414,0.080659069,0.067053986,0.168918263,0.111669222,0.000711238,0.000711238,0.000711238,0.315498754,0.158079143,0.686676901,https://www.youtube.com/watch?v=vKH-rcO6PA8
one direction,if i could fly,2015,0.00075188,0.00075188,0.00075188,0.067552325,0.00075188,0.00075188,0.00075188,0.197468672,0.00075188,0.022498043,0.00075188,0.559430943,0.545109932,0.292044518,0.245221673,https://www.youtube.com/watch?v=L47mRyhxsBw
